City,temp,Lat,Long,humidity,Cloud Cover,Wind Speed
Pedernales,23.51,0.07,-80.05,89,6,1.99
Kapaa,26.48,22.08,-159.32,69,75,8.2
Macenta,17.54,8.55,-9.47,34,46,0.9
Enugu,26.0,6.45,7.5,61,96,2.1
Sterling,5.96,39.0,-77.4,41,1,3.6
Sola,17.57,-3.17,33.8,92,92,2.27
Sarangani,26.55,5.4,125.46,87,100,11.36
Bluff,28.64,-23.58,149.07,56,60,6.13
Pospelikha,-14.07,51.99,81.83,83,75,1.06
Vila Velha,27.88,-3.71,-38.6,74,20,2.1
Shingu,8.0,33.72,135.99,52,75,1.0
Rikitea,24.95,-23.12,-134.97,74,95,5.43
Qaanaaq,-25.48,77.48,-69.36,62,45,4.83
Biak,27.05,-0.91,122.88,77,100,3.83
Torbay,-3.24,47.66,-52.73,86,90,3.6
Saint George,1.53,39.45,22.34,55,20,2.1
San Quintin,22.23,17.54,120.52,76,2,1.84
Mahebourg,25.0,-20.41,57.7,100,40,0.76
Hilo,23.57,19.71,-155.08,65,20,1.5
Katsuura,6.44,33.93,134.5,75,90,1.5
Narsaq,-19.0,60.91,-46.05,33,5,3.1
Buraydah,11.0,26.33,43.97,53,40,3.1
Ferkessedougou,22.6,9.6,-5.2,21,4,1.55
Chuy,20.2,-33.69,-53.46,74,35,2.73
East London,22.97,-33.02,27.91,75,100,3.36
Saint-Philippe,-8.24,45.36,-73.48,85,75,2.1
Hithadhoo,28.51,-0.6,73.08,76,100,5.2
Trincomalee,22.96,8.58,81.23,95,65,1.17
Port Alfred,20.0,-33.59,26.89,97,100,4.04
Scarborough,6.22,54.28,-0.41,87,2,5.7
Mataura,13.33,-46.19,168.86,72,88,4.47
Leningradskiy,-23.25,69.38,178.42,77,0,4.76
Nara,5.45,34.68,135.8,75,75,1.0
Diu,23.06,20.71,70.98,82,0,2.95
Denia,7.3,38.84,0.11,90,0,0.89
Okitipupa,22.59,6.5,4.78,78,0,0.61
Hobart,18.66,-42.88,147.33,72,75,5.1
Arraial do Cabo,26.0,-22.97,-42.02,88,75,2.1
Tongren,7.36,27.72,109.18,96,32,1.13
Soligalich,-7.16,59.08,42.29,93,100,2.94
Tasiilaq,-5.79,65.61,-37.64,93,100,14.7
Portland,-5.37,43.66,-70.25,68,90,2.1
Padang,20.67,-0.92,100.36,88,91,2.22
Petropavlovsk-Kamchatskiy,-3.0,53.05,158.65,49,100,8.0
Vaini,17.96,15.34,74.49,97,4,2.26
Shahrud,-1.2,36.42,54.97,76,0,0.5
Busselton,19.32,-33.64,115.35,27,0,3.28
Killybegs,7.53,54.63,-8.45,77,44,8.15
Mount Isa,33.0,-20.73,139.49,43,100,4.1
Ushuaia,12.0,-54.81,-68.31,58,75,2.6
Tarata,23.0,-17.47,-70.03,60,100,4.6
Cidreira,25.04,-30.17,-50.22,83,57,5.3
Victoria,26.26,5.28,115.24,83,75,4.83
Port Elizabeth,6.11,39.31,-74.98,52,1,2.1
Natal,27.0,-5.81,-35.21,78,20,5.1
Butaritari,29.37,3.07,172.79,76,100,8.16
Kodinsk,-12.38,58.6,99.18,96,35,2.44
Atuona,26.97,-9.8,-139.03,70,0,5.51
Shizunai,-3.66,42.33,142.37,61,87,1.15
Klaksvik,7.0,62.23,-6.59,56,23,8.2
Rafaela,23.33,-31.25,-61.49,34,0,1.79
Luangwa,23.52,-15.62,30.4,88,89,0.68
Tiksi,-19.06,71.64,128.87,85,100,7.41
Oranjemund,15.21,-28.55,16.43,90,81,3.96
Hermanus,18.01,-34.42,19.24,79,98,2.68
Hay River,-25.0,60.82,-115.79,75,90,4.1
Nikolskoye,1.29,59.7,30.79,96,90,2.0
Albany,-0.36,42.65,-73.75,55,75,2.6
Vila,-0.25,45.18,8.4,100,0,1.0
Lompoc,20.76,34.64,-120.46,59,1,3.1
San Andres,25.43,13.32,122.68,83,26,4.53
Clyde River,-28.0,70.47,-68.59,75,75,8.7
Jamestown,23.62,-33.21,138.6,41,0,3.58
Thompson,-19.0,55.74,-97.86,84,90,4.1
Kaitangata,13.89,-46.28,169.85,53,0,8.49
Grindavik,1.47,63.84,-22.43,69,75,3.6
Victor Harbor,24.91,-35.55,138.62,43,0,2.1
Sumbe,25.08,-11.2,13.84,85,100,1.63
Iqaluit,-25.0,63.75,-68.52,57,40,9.3
Caravelas,23.69,-17.73,-39.27,89,100,3.39
Wamba,19.03,2.14,27.99,81,98,0.5
New Norfolk,19.08,-42.78,147.06,72,75,5.1
Puerto del Rosario,16.44,28.5,-13.86,67,15,4.6
Geraldton,-12.0,49.72,-86.95,78,75,2.1
La Cruz,21.21,23.92,-106.89,66,64,3.3
Dikson,-11.04,73.51,80.55,95,100,4.7
Berlevag,-2.0,70.86,29.09,86,40,5.1
Upington,27.0,-28.46,21.24,30,67,3.1
Cape Town,19.28,-33.93,18.42,68,99,7.7
Acapulco,29.0,16.86,-99.88,66,5,2.6
Barrow,15.48,-38.31,-60.23,62,32,3.57
Muroto,9.0,33.37,134.14,87,75,4.1
Camacha,16.57,33.08,-16.33,72,40,3.6
Rorvik,7.22,64.86,11.24,82,96,0.89
Lavrentiya,-23.18,65.58,-170.99,89,53,0.68
Batagay-Alyta,-25.86,67.8,130.41,88,100,2.14
Gagnoa,20.68,6.13,-5.95,58,0,1.14
Beringovskiy,-24.02,63.05,179.32,86,9,5.03
Punta Arenas,13.63,-53.16,-70.91,71,75,4.1
Puerto Escondido,29.0,15.86,-97.07,66,5,3.1
Mar del Plata,16.65,-46.43,-67.52,59,67,3.3
Avarua,27.0,-21.21,-159.78,83,40,1.5
Nerchinskiy Zavod,-21.07,51.31,119.61,98,12,0.99
Luderitz,18.0,-26.65,15.16,72,100,5.7
Cabra,3.21,37.47,-4.43,93,0,0.5
Sioux Lookout,-7.84,50.1,-91.92,78,20,2.6
Churapcha,-17.44,62.0,132.43,97,100,2.01
Vaitape,27.96,-16.52,-151.75,78,68,6.71
Waipawa,13.33,-39.94,176.59,80,36,2.24
Bambous Virieux,25.0,-20.34,57.76,100,40,2.84
Castro,13.0,-42.48,-73.76,87,90,4.6
Xining,-9.83,36.62,101.77,89,90,1.5
Pran Buri,21.0,12.39,99.9,83,0,1.0
Upernavik,-20.19,72.79,-56.15,84,100,3.0
Puerto Ayora,27.18,-0.74,-90.35,58,75,7.2
San Vicente,28.0,-0.59,-80.41,74,75,2.1
Khatanga,-13.82,71.98,102.47,93,99,5.82
Murray Bridge,25.33,-35.12,139.28,56,0,0.89
Waynesville,8.0,37.83,-92.2,31,1,3.1
Santa Maria,22.7,-16.02,-48.01,78,40,3.1
Provideniya,-24.02,64.42,-173.23,95,83,0.55
Langham,-11.0,52.36,-106.96,61,20,8.2
Hami,-8.5,42.84,93.51,52,0,0.38
Zavetnoye,-0.48,47.12,43.89,60,95,4.86
Meadow Lake,-18.0,54.13,-108.44,64,20,5.1
Longyearbyen,-12.0,78.22,15.63,55,40,6.2
Nantucket,1.4,41.28,-70.1,93,90,3.1
Bredasdorp,17.37,-34.53,20.04,77,94,1.5
Kolokani,16.75,13.58,-8.03,19,15,4.26
Naze,25.0,5.43,7.07,78,100,1.1
Nizhniy Odes,-14.31,63.64,54.86,93,99,2.72
Porto Walter,26.66,-8.27,-72.74,66,44,1.57
Kendari,26.34,-3.99,122.52,90,100,0.57
Tuktoyaktuk,-33.0,69.44,-133.03,74,75,2.6
Ariano Irpino,2.92,41.15,15.09,74,5,2.1
Ancud,13.0,-41.87,-73.83,87,90,4.6
Feijo,30.61,-3.63,-79.92,66,40,4.1
Tullahoma,10.46,35.36,-86.21,57,75,1.71
Santiago del Estero,24.03,-27.8,-64.26,50,17,2.17
La Palma,20.66,5.36,-74.39,96,72,1.37
Roxas,26.05,10.32,119.34,82,54,3.28
Chepareria,20.38,1.32,35.2,66,70,1.91
West Wendover,4.0,40.74,-114.07,55,1,1.05
Great Yarmouth,6.21,52.61,1.73,87,34,5.1
Whitecourt,-7.0,54.14,-115.68,73,20,0.88
Golden,1.17,39.76,-105.22,23,1,1.5
Coihaique,13.0,-45.58,-72.07,71,90,2.6
Champerico,28.0,16.38,-93.6,42,5,1.88
Lincoln,5.79,53.23,-0.54,81,0,5.7
Kamenka,-4.44,48.03,28.7,82,0,1.5
Lons-le-Saunier,0.35,46.67,5.56,92,17,1.5
Guerrero Negro,22.46,27.97,-114.04,28,0,1.78
Mehamn,-2.0,71.03,27.85,86,40,5.1
Kavaratti,27.01,10.57,72.64,72,100,2.54
Ambilobe,24.22,-13.19,49.05,88,46,1.49
Cherskiy,-26.8,68.75,161.3,71,0,2.67
Asyut,8.0,27.18,31.19,75,0,5.1
Avera,12.87,33.19,-82.53,62,1,2.77
Ilulissat,-20.0,69.22,-51.1,53,100,5.7
Chokurdakh,-30.23,70.62,147.9,99,14,1.24
Saskylakh,-17.47,71.97,114.09,93,94,3.54
Westport,3.46,41.14,-73.36,56,1,3.1
Ribeira Grande,16.4,38.52,-28.7,94,97,7.87
Hunterville,17.89,-39.94,175.57,46,1,3.58
Scottsbluff,2.3,41.87,-103.67,34,1,5.1
Sorong,24.33,-0.86,131.25,97,100,1.09
Ketchikan,0.55,55.34,-131.65,100,40,2.6
Nyuksenitsa,-8.55,60.41,44.24,94,100,3.37
Nemuro,-1.17,43.32,145.57,72,10,9.72
Aykhal,-12.0,65.95,111.51,92,45,2.0
Angoche,25.54,-16.23,39.91,89,100,2.4
Isangel,29.0,-19.55,169.27,70,75,4.81
Kodiak,3.76,39.95,-94.76,55,20,2.1
Ukiah,12.03,39.15,-123.21,41,1,1.2
Port Hedland,31.0,-20.31,118.58,48,90,5.1
Fare,27.86,-16.7,-151.02,78,73,6.17
Khasan,-5.05,42.43,130.64,94,100,1.92
Touros,27.0,-5.2,-35.46,78,20,5.1
Ponta do Sol,20.32,-20.63,-46.0,92,9,1.11
Rock Springs,-4.0,41.59,-109.2,62,1,7.7
Bundaberg,28.77,-24.87,152.35,54,40,5.7
Matagami,17.0,9.67,8.4,36,0,2.1
Mount Gambier,19.0,-37.83,140.78,63,21,5.1
Saint-Augustin,-8.5,45.63,-73.98,85,75,2.1
Purpe,-14.83,64.48,76.69,93,100,5.02
Volkhovskiy,0.1,58.58,31.32,94,99,3.02
Saldanha,2.71,41.42,-6.55,81,45,1.21
Russkiy Kameshkir,-6.08,52.86,46.09,96,89,2.01
Lagoa,9.87,37.14,-8.45,87,0,2.6
Kaduy,-3.65,59.2,37.15,93,95,2.62
Paamiut,-18.04,61.99,-49.67,78,46,6.83
Pevek,-22.74,69.7,170.27,69,0,2.32
Ponta Delgada,18.0,37.73,-25.67,100,75,4.1
Biltine,18.05,14.53,20.93,25,1,2.93
Talnakh,-10.0,69.49,88.39,85,40,8.0
Itoman,20.89,26.12,127.67,68,75,4.6
Emerald,27.57,-23.53,148.16,65,40,5.1
Shiyan,2.02,32.65,110.78,99,99,2.28
Oum Hadjer,19.29,13.3,19.7,21,0,4.59
Atar,10.97,20.52,-13.05,13,59,3.68
Sorland,6.94,67.67,12.69,84,100,13.64
Abbeville,7.18,50.11,1.83,87,20,3.6
Beloha,22.77,-25.17,45.06,86,14,5.22
Ferme-Neuve,-6.3,46.7,-75.45,94,100,2.0
Los Llanos de Aridane,19.0,28.66,-17.92,59,75,8.2
Ugoofaaru,28.17,5.67,73.0,74,74,8.71
Broome,6.06,52.47,1.45,87,34,5.1
Port Hardy,5.0,50.7,-127.42,86,75,4.6
Kedougou,18.14,12.56,-12.19,16,9,0.67
Lakatoro,27.88,-16.11,167.42,79,100,6.94
Micheweni,28.41,-4.97,39.83,79,11,5.38
Port Blair,26.51,11.67,92.75,84,0,6.98
Alofi,30.0,-19.06,-169.92,70,75,2.1
Daru,29.43,-9.07,143.21,75,97,1.49
Humaita,24.83,-24.93,-65.37,60,40,4.6
Sao Joao da Barra,25.43,-21.64,-41.05,89,100,5.44
Olinda,17.99,-37.84,145.39,88,90,4.6
Pashiya,-17.17,58.43,58.26,98,0,0.67
Yulara,26.0,-25.24,130.99,57,100,7.2
Esperance,25.0,-33.86,121.89,27,0,5.7
Saint-Louis,19.0,16.03,-16.5,29,81,2.1
Gigmoto,26.95,13.78,124.39,81,84,11.06
Georgetown,26.47,6.8,-58.16,78,20,2.1
Yellowknife,-29.34,62.45,-114.38,74,75,3.1
Hanyang,4.44,32.14,105.51,75,19,1.77
Tual,28.12,-5.67,132.75,77,100,4.89
Norman Wells,-40.0,65.28,-126.83,72,75,1.0
Gondal,18.02,21.96,70.8,56,0,2.37
Presidencia Roque Saenz Pena,26.92,-26.79,-60.44,52,73,5.04
Eskil,3.95,38.4,33.41,79,100,2.18
Salalah,24.0,17.01,54.1,83,40,2.1
Souillac,4.9,45.6,-0.6,87,90,1.0
Zhezkazgan,-13.31,47.8,67.71,99,88,1.33
Malatya,4.0,38.35,38.32,86,75,3.1
Lebu,12.0,8.96,38.73,87,20,2.1
Airai,24.81,-8.93,125.41,63,99,1.48
Ati,20.11,13.21,18.34,20,0,4.33
Half Moon Bay,14.91,37.46,-122.43,47,1,1.5
Dinghai,16.0,26.28,119.79,87,75,1.0
Orsha,-2.35,54.51,30.43,96,95,3.9
Ode,26.0,8.45,4.32,61,6,1.5
Iraray,25.55,8.99,118.05,86,50,1.73
Along,6.24,28.17,94.8,89,89,1.98
Tiarei,30.76,-17.53,-149.33,70,40,2.1
Karachi,14.0,24.87,67.03,71,2,3.6
Pascagoula,15.11,30.37,-88.56,51,1,2.1
Gra Liyia,8.69,35.02,25.68,87,75,14.4
Lovozero,-12.8,68.01,35.02,86,0,1.51
Sechura,22.15,-5.56,-80.82,88,20,6.74
Hamilton,1.88,43.26,-79.87,74,40,6.7
Sistranda,2.88,63.73,8.83,93,75,3.1
Male,-4.85,50.74,33.7,88,10,0.96
Qinhuangdao,-2.02,39.94,119.59,54,100,2.76
Meulaboh,26.96,4.14,96.13,80,79,3.61
Kulhudhuffushi,27.84,6.62,73.07,79,86,6.09
Solnechnyy,-16.86,50.72,136.64,75,0,0.74
Houston,21.29,29.76,-95.37,46,20,2.1
Bon Accord,-10.29,53.84,-113.41,61,20,1.0
Fairbanks,-35.61,64.84,-147.72,73,20,0.45
Nishihara,6.25,35.74,139.53,65,90,3.35
Severo-Kurilsk,-4.13,50.68,156.12,74,100,7.45
Obera,24.43,-27.49,-55.12,60,47,1.03
Pangody,-17.82,65.85,74.49,91,2,5.89
Saint Anthony,-1.96,43.97,-111.68,85,90,1.5
Sidi Ali,7.61,36.1,0.42,86,0,0.44
Kamaishi,-5.0,39.28,141.86,85,75,3.6
Rio Cuarto,21.0,-33.13,-64.35,52,0,1.0
Bereda,3.78,43.27,-7.54,93,20,2.6
Itaqui,23.1,-29.13,-56.55,77,85,2.06
Vostok,-12.09,46.45,135.83,79,89,1.21
Tabou,21.96,4.42,-7.36,70,0,1.25
Belle Glade,18.76,26.68,-80.67,42,90,4.1
Henties Bay,17.22,-22.12,14.28,89,29,0.89
Bilibino,-27.86,68.06,166.44,93,0,1.2
La Plata,23.66,-34.92,-57.95,49,20,4.1
Lianyuan,6.7,27.69,111.67,93,100,1.86
Veraval,8.07,49.65,0.71,93,75,5.1
Muros,5.76,42.77,-9.06,93,20,1.5
Namibe,21.96,-15.19,12.15,85,99,3.75
Nha Trang,24.0,12.24,109.19,83,40,3.1
Nanortalik,-9.7,60.14,-45.24,71,0,23.29
Otavi,18.23,-19.64,17.34,87,74,0.72
Kalmunai,27.65,7.42,81.82,76,40,6.37
Hofn,4.68,64.25,-15.21,62,32,14.21
Tahara,6.95,34.64,137.18,60,75,2.1
Tucuman,13.85,-17.17,-70.89,83,72,3.04
