City,temp,Lat,Long,humidity,Cloud Cover,Wind Speed
Darhan,-19.89,49.49,105.92,88,22,1.94
Fuerte Olimpo,28.0,-21.04,-57.87,67,34,2.66
Dalmatovo,-12.02,56.26,62.94,93,50,2.4
Roald,6.45,62.58,6.12,75,96,8.7
Diego de Almagro,18.19,-26.39,-70.05,45,0,2.13
Bianzhuang,-13.36,39.44,112.12,84,100,3.55
Swellendam,16.0,-34.02,20.44,77,94,1.5
University Park,16.0,32.86,-96.79,33,75,3.1
Hendersonville,9.1,36.3,-86.62,45,20,2.27
Suntar,-7.09,62.16,117.65,93,100,4.83
Adrar,8.0,27.87,-0.29,28,39,6.7
Inhambane,26.35,-23.87,35.38,77,29,5.43
Rio Gallegos,16.0,-51.62,-69.22,67,90,2.1
Anadyr,-32.0,64.73,177.51,67,0,3.0
Bambanglipuro,25.48,-7.95,110.28,81,96,1.15
Fortuna,11.9,40.6,-124.16,66,1,2.6
Port Lincoln,20.78,-34.72,135.86,60,0,3.96
Richards Bay,25.37,-28.77,32.06,84,100,8.3
Huarmey,20.69,-10.07,-78.15,80,39,2.15
Deputatskiy,-27.75,69.3,139.9,77,5,0.5
Wajima,4.0,37.4,136.9,65,75,1.5
Marinette,-0.46,45.1,-87.63,50,1,1.5
Yarmouth,-4.02,43.84,-66.12,79,90,3.1
Wilmington Island,13.5,32.0,-80.97,71,1,1.5
Maragogi,26.8,-9.01,-35.22,77,0,6.79
Mayo,-39.0,63.59,-135.9,72,20,1.0
Bubaque,25.74,11.28,-15.83,54,71,4.33
Manicore,27.77,-5.81,-61.3,71,98,0.91
Vao,2.49,59.1,26.19,97,100,3.38
Vuktyl,-16.8,63.86,57.31,95,100,4.22
Lasa,12.43,34.92,32.53,76,75,9.3
Thyboron,4.73,56.7,8.21,91,100,3.13
Havre-Saint-Pierre,-20.0,50.23,-63.6,70,1,2.6
The Valley,25.45,18.22,-63.06,69,20,2.6
Swan Hill,23.33,-35.34,143.56,58,0,1.34
Asmara,15.77,15.34,38.93,89,66,0.99
Sitka,8.33,37.17,-99.65,32,0,4.47
Beatrice,4.06,40.27,-96.75,69,1,4.1
Dumas,23.57,21.09,72.71,67,0,2.62
Manresa,5.74,41.73,1.83,93,0,1.5
Lucea,26.53,18.44,-78.17,74,75,4.6
Elizabeth City,7.77,36.3,-76.22,61,1,2.6
Abyek,-2.0,36.04,50.53,86,0,2.1
Saint-Joseph,6.45,43.56,6.97,93,75,1.0
Sal Rei,20.0,16.18,-22.92,60,77,8.2
Sangueya,21.97,10.7,-14.37,72,32,1.92
San Pedro,19.7,-33.68,-59.66,56,7,0.89
Saharanpur,12.1,29.96,77.54,94,100,1.37
Carlsbad,-2.77,50.23,12.87,100,0,1.0
Cabinda,28.05,-5.56,12.19,81,100,4.21
San Patricio,26.13,-26.98,-56.83,62,70,1.34
Ulaanbaatar,-27.0,47.92,106.92,75,40,1.0
Raudeberg,6.48,61.99,5.14,93,100,12.9
Sao Filipe,20.81,14.9,-24.5,62,90,8.83
Manadhoo,28.29,5.77,73.38,75,97,8.67
Tuatapere,13.33,-46.13,167.69,74,98,4.47
Aljezur,10.29,37.31,-8.8,91,0,2.68
Sarai Naurang,7.73,32.83,70.78,81,100,2.08
Kutum,14.87,14.2,24.66,29,30,1.8
Ligayan,27.46,4.65,119.47,81,100,5.05
Badou,23.22,7.58,0.61,37,61,1.12
Santa Lucia,2.51,41.98,12.66,59,0,2.6
Bulgan,-19.03,48.81,103.53,75,0,1.59
Gat,19.0,14.69,-16.54,63,66,5.1
Chapais,-14.0,49.78,-74.86,84,90,4.1
Christchurch,15.76,-43.53,172.64,58,54,12.3
Vanavara,-12.98,60.35,102.28,97,100,3.04
Kenai,-17.88,60.55,-151.26,64,1,2.1
Clonakilty,8.82,51.62,-8.87,93,75,6.7
Montepuez,22.54,-13.13,39.0,97,94,2.46
Khani,10.0,41.96,42.96,43,44,12.3
Lebanon,4.54,40.34,-76.42,33,1,3.6
Taltal,17.14,-25.41,-70.49,82,0,1.15
Semporna,24.0,4.48,118.61,94,75,1.5
Paciran,26.42,-6.9,112.33,86,98,2.51
Cabo San Lucas,23.9,22.89,-109.91,53,5,5.1
Moba,25.35,-7.04,29.77,62,79,0.95
Flinders,24.09,-34.58,150.85,69,100,1.5
Palana,-14.85,59.08,159.95,76,0,1.66
Dorado,23.46,18.46,-66.27,83,40,2.1
Bethel,-26.98,60.79,-161.76,75,1,3.1
Lokosovo,-7.79,61.13,74.84,90,90,5.03
Vardo,4.51,39.62,-77.74,33,1,3.1
Seoul,4.88,37.57,126.98,93,90,1.5
Faanui,27.96,-16.48,-151.75,78,68,6.71
Betafo,16.45,-19.84,46.86,96,100,0.88
Coquimbo,21.0,-29.95,-71.34,56,0,3.6
Goundam,16.79,16.42,-3.66,18,1,4.27
Soller,3.93,50.73,6.56,89,75,3.6
Dogondoutchi,21.98,13.64,4.03,25,30,3.96
Boo,24.58,7.44,8.9,26,8,2.72
Karratha,29.93,-20.74,116.85,71,100,2.87
Hervey Bay,28.79,-25.3,152.85,54,40,5.7
Amapa,21.5,15.09,-87.97,83,75,3.1
Namatanai,29.72,-3.66,152.44,71,86,2.75
Dingle,24.53,11.0,122.67,90,46,4.39
Dabhol,25.72,17.6,73.17,65,21,1.39
Poli,22.11,8.48,13.24,27,0,2.14
Kaeo,21.07,-35.1,173.78,59,66,3.13
Conceicao do Araguaia,21.75,-8.26,-49.26,95,100,1.03
Neuquen,24.0,-38.95,-68.06,27,0,7.2
Vallenar,16.34,-28.58,-70.76,74,0,2.62
Filadelfia,26.9,-22.35,-60.04,77,79,2.78
Alice Springs,25.0,-23.7,133.88,47,96,3.6
Bonthe,24.82,7.53,-12.5,74,2,3.14
Praia da Vitoria,18.0,38.73,-27.07,88,40,7.91
Belmonte,3.66,40.36,-7.35,23,21,1.34
Kruisfontein,17.99,-34.0,24.73,90,100,2.43
Codrington,28.36,-28.95,153.24,54,40,3.6
Nouadhibou,16.0,20.93,-17.03,72,100,8.2
Maniitsoq,-18.36,65.42,-52.9,98,100,5.23
Sur,21.24,22.57,59.53,84,0,4.09
Port Augusta,24.04,-32.49,137.76,60,0,3.1
Salitral,22.35,9.79,-84.12,64,20,7.7
Margate,19.08,-43.03,147.26,72,75,5.1
Aklavik,-35.85,68.22,-135.01,73,20,2.6
Kaka,2.03,37.35,59.62,83,1,1.41
Vanimo,28.15,-2.67,141.3,78,98,3.12
Surskoye,-6.95,54.48,46.71,96,100,1.1
Sabha,6.96,27.03,14.43,60,0,3.97
Mogadishu,27.27,2.04,45.34,84,43,9.73
Dabat,13.78,12.98,37.77,65,74,2.71
Manzil Salim,0.0,35.86,8.48,93,0,1.0
Werda,22.5,-25.27,23.28,65,100,4.03
Nuevo Progreso,22.96,26.05,-97.95,43,40,4.6
Payo,20.93,-3.75,103.64,94,80,0.81
Wanaka,10.83,-44.7,169.14,55,74,2.66
Hearst,-15.58,49.69,-83.67,93,99,3.23
Vestmannaeyjar,5.19,63.44,-20.27,67,85,11.25
Bati,18.45,11.19,40.02,85,77,1.54
Ahipara,24.44,-35.17,173.16,60,85,1.34
Amga,-15.28,60.89,131.98,97,95,1.43
Robe,9.24,7.12,40.01,84,22,1.79
Hobyo,25.64,5.35,48.53,82,58,5.96
Saint-Paul,3.12,45.22,1.9,100,96,1.0
Chumikan,-13.41,54.72,135.31,72,11,3.84
Umm Kaddadah,16.64,13.6,26.69,22,61,4.32
Diapaga,21.97,12.07,1.79,30,25,3.03
Kieta,30.11,-6.22,155.63,67,39,2.6
Pundaguitan,26.2,6.37,126.17,85,99,3.26
Lipari,8.35,38.47,14.95,45,40,2.6
Sovetskiy,-9.07,56.76,48.47,97,84,0.68
Balkanabat,4.45,39.51,54.36,72,90,2.58
Konevo,3.89,41.67,25.61,50,100,3.58
Sendafa,12.0,9.16,39.02,87,20,2.1
Saint-Francois,0.54,46.42,3.91,92,49,0.5
Cocachacra,20.18,-17.09,-71.76,88,13,2.81
Samana,29.43,0.12,-76.97,70,20,1.5
Faya,14.0,18.39,42.45,71,0,3.6
Comodoro Rivadavia,17.0,-45.87,-67.48,63,44,5.1
Belle Fourche,-1.62,44.67,-103.85,71,1,5.1
Piacabucu,26.09,-10.41,-36.43,80,0,5.23
Salamiyah,9.11,35.01,37.05,54,0,7.77
Key West,-2.48,47.93,-96.78,85,40,4.6
Kathu,21.67,-27.7,23.05,65,100,0.89
Normandin,-12.0,48.84,-72.53,85,90,1.44
Zapodeni,-6.37,46.75,27.65,92,16,1.5
Coahuayana,26.48,18.62,-100.35,31,11,0.54
Anito,27.33,12.45,125.29,79,80,8.87
Bahia de Caraquez,28.0,-0.6,-80.42,74,75,2.1
Carnarvon,18.84,-30.97,22.13,68,90,5.82
Pingliang,-6.43,35.54,106.68,85,100,0.82
Tessalit,12.7,20.2,1.01,21,43,5.05
Baiyin,-6.64,36.55,104.13,85,40,1.0
Shache,-4.69,38.42,77.24,59,100,1.51
Amahai,27.85,-3.31,129.0,70,100,2.26
Surt,10.55,31.21,16.59,62,92,5.68
Pacific Grove,15.06,36.62,-121.92,51,1,2.1
Bayir,9.0,37.27,28.22,87,75,4.1
Igarka,-13.17,67.47,86.57,93,100,3.47
Akdepe,-5.01,42.05,59.39,79,90,1.0
Mushie,25.11,-3.02,16.92,70,90,0.81
Sayyan,10.95,15.17,44.32,60,0,1.0
Selma,14.5,32.41,-87.02,67,16,1.67
Ribnica,-4.35,45.74,14.73,92,0,0.5
Marienburg,0.85,52.12,9.98,80,32,2.1
Bikin,-13.56,46.82,134.25,86,96,0.5
Juan Lacaze,23.78,-34.43,-57.44,38,40,7.7
Kem,22.18,2.68,33.77,53,13,1.66
Altagracia de Orituco,19.06,9.86,-66.38,98,2,1.57
York,4.56,39.96,-76.73,38,1,2.6
Methven,16.02,-43.63,171.65,47,95,0.45
Goderich,0.62,43.74,-81.71,71,40,8.05
Tapel,25.07,13.08,123.3,87,100,4.5
Ayan,-9.42,38.23,44.7,64,0,3.04
Necochea,17.22,-38.55,-58.74,70,0,4.47
Ulladulla,25.0,-35.36,150.48,69,55,1.5
Las Palmas,25.59,9.27,-75.33,82,46,4.57
Sobolevo,-3.77,54.43,31.9,96,93,3.44
Lalpur,6.29,34.24,71.05,93,75,2.1
Santa Cruz,23.92,-6.22,-36.02,81,86,2.36
Havelock,8.31,34.88,-76.9,70,5,2.1
Buin,24.52,-33.73,-70.74,38,11,3.6
Sanandaj,-5.39,35.31,47.0,74,0,1.2
Komsomolskiy,-11.85,67.55,63.78,92,100,8.28
Bathsheba,26.0,13.22,-59.52,69,20,6.7
Dharchula,-1.29,29.85,80.53,98,100,0.4
Mangai,23.24,-4.07,19.59,74,100,0.45
Bure,19.59,10.52,10.33,34,0,3.4
Yerbogachen,-9.06,61.28,108.01,92,100,4.67
Baruun-Urt,-16.92,46.68,113.28,78,0,2.95
Machico,15.02,32.7,-16.77,63,20,6.2
Vila Franca do Campo,18.0,37.72,-25.43,93,75,4.1
Artyom,-8.0,43.36,132.19,78,75,3.0
Jashpurnagar,10.41,22.88,84.14,48,0,1.85
Coswig,-0.37,51.13,13.58,72,0,2.1
Gamba,-12.86,28.28,88.52,38,67,0.23
Tambovka,-1.85,47.32,47.38,74,98,3.03
Severomuysk,-21.46,56.17,113.57,61,0,1.22
Prokopyevsk,-12.54,53.89,86.74,84,7,1.32
Ucar,-1.0,40.51,47.65,92,40,1.04
Kahului,25.36,20.89,-156.47,48,20,8.2
Nyurba,-8.25,63.29,118.35,93,100,3.79
Umea,2.12,63.83,20.26,100,90,4.6
Broken Hill,24.0,-31.97,141.45,47,0,7.7
Tereze,0.65,43.94,42.44,86,90,8.0
Hasaki,2.44,35.73,140.83,74,75,2.1
Verkh-Usugli,-20.23,52.7,115.17,88,0,0.91
Hammerfest,2.0,70.66,23.68,69,90,8.7
Lisakovsk,-12.97,52.55,62.49,96,93,1.61
Eau Claire,-2.22,44.81,-91.5,68,1,3.1
Ikungi,16.5,-5.13,34.77,90,34,0.94
Sikeston,6.75,36.88,-89.59,56,1,2.1
ChengDe,-10.95,40.97,117.93,81,100,1.75
Barcelos,27.05,-0.97,-62.93,71,0,0.96
Irece,21.12,-11.3,-41.86,94,100,2.37
Portree,8.11,57.41,-6.19,86,15,7.15
San Juan,27.8,-31.54,-68.53,17,0,4.72
Itarema,25.21,-2.92,-39.92,86,52,1.8
Panzhihua,2.33,26.59,101.72,68,51,0.44
Ismailia,13.38,30.6,32.27,45,0,8.59
Altay,-12.88,47.83,88.13,50,4,2.07
Kavieng,29.29,-2.57,150.8,69,75,1.29
Marathon,-11.0,48.72,-86.38,78,40,2.1
Udachnyy,-12.0,66.42,112.4,92,43,2.0
Jiutai,-9.0,44.15,125.84,85,90,3.0
Havoysund,2.0,71.0,24.66,69,100,8.7
Kiunga,29.16,-6.12,141.3,76,96,0.32
Palmeiras de Goias,21.91,-16.8,-49.93,93,17,2.82
Bosaso,25.75,11.28,49.18,74,57,2.95
Sault Sainte Marie,-2.69,46.49,-84.36,63,90,7.7
Moose Factory,-13.0,51.26,-80.61,78,90,5.7
Ussuriysk,-8.0,43.8,131.95,78,75,3.0
Belyy Yar,-18.0,53.6,91.39,84,90,0.97
Puerto Penasco,21.67,31.32,-113.53,26,31,7.15
Kawalu,22.82,-7.38,108.21,85,72,0.85
Chiang Rai,16.0,19.9,99.84,100,0,0.9
Taoudenni,11.87,22.68,-3.98,17,43,3.22
Constitucion,22.0,23.99,-104.67,8,75,2.6
Matay,8.47,28.42,30.79,60,0,4.56
Progreso,23.82,-34.68,-56.22,49,75,3.1
Deneysville,17.76,-26.89,28.1,80,100,5.02
Kalanguy,-18.81,51.01,116.52,85,3,1.17
Tianmen,4.3,30.65,113.16,86,100,3.58
Yerofey Pavlovich,-26.01,53.97,121.97,95,0,0.87
Vielsalm,2.43,50.29,5.92,93,75,6.2
Sembakung,25.52,3.82,117.25,84,93,1.44
Changtu,-14.96,42.78,124.11,95,100,2.73
Alyangula,31.0,-13.85,136.42,74,40,1.5
Zorritos,32.0,-3.68,-80.68,33,75,2.1
Grand Gaube,25.0,-20.01,57.66,100,40,1.46
Khandyga,-18.24,62.65,135.58,95,100,2.1
Okhotsk,-22.56,59.36,143.24,78,1,5.88
Jalu,9.09,29.03,21.55,69,1,7.34
Cap Malheureux,25.0,-19.98,57.61,100,40,1.46
Wenling,17.81,28.38,121.38,95,84,4.29
Wewak,29.19,-3.55,143.63,68,98,1.04
Ternate,24.92,14.29,120.72,74,40,2.1
Motala,17.63,20.68,76.21,68,20,3.07
Usinsk,-13.3,66.0,57.56,94,100,7.32
Garchitorena,26.53,13.88,123.7,83,97,9.31
Anan,6.48,33.91,134.64,75,90,1.5
Ust-Maya,-19.39,60.42,134.54,99,100,0.94
Gueret,2.14,46.17,1.87,100,90,2.77
Nabire,26.77,-3.36,135.5,92,74,0.42
Visnes,6.96,59.36,5.22,93,75,7.7
Zhob,3.19,31.34,69.45,91,75,1.36
Syedove,3.84,47.08,38.16,89,100,4.92
Kadnikov,-5.14,59.5,40.34,95,100,3.08
Pangnirtung,-33.0,66.15,-65.72,44,90,2.6
Oleksandrivka,-2.84,48.97,32.24,85,18,2.8
Kununurra,27.0,-15.77,128.74,88,75,1.5
Sfantu Gheorghe,-2.5,44.65,26.83,85,3,1.5
Hannibal,4.23,39.71,-91.36,44,40,2.28
Alirajpur,15.64,22.3,74.35,48,8,4.38
Kasongo,21.33,-4.43,26.67,96,79,0.6
Mnogovershinnyy,-14.32,53.94,139.92,71,10,2.62
Galle,18.64,10.08,-12.83,60,21,1.19
Dandong,-0.75,40.12,124.37,76,100,6.21
Huntington,3.82,40.87,-73.43,52,1,2.1
